frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
0,0,738084.61766913,-0.2,0.05,-48.3295304527915,-62.6124946317085,52.8400505915132,45.9415982247366,-0.657359865754823,-7.02063654283099,-21.9408933441703,-49.0641512348246,-21.0907481858534,-49.65463617969,-53.1668980532438,-6.66722967228478,-53.3914738936505
1,1,738084.61766922,-0.2,0.065,-48.7275053631344,-59.271921759626,46.3393485620427,52.8092650886692,0.882723700068175,-7.20782363772793,-20.4487150378078,-49.2649818484672,-19.599980619094,-49.8515083312781,-51.6856468685021,-6.85603345924077,-51.9078256233251
2,2,738084.617669329,-0.2,0.08,-49.0925814254494,-55.8615063823925,46.722363816236,52.78026694833,0.849803117475582,-7.37989906163406,-18.9226643250691,-49.4502272583603,-18.0754025612505,-50.0327230959134,-50.1701696825799,-7.02979293454254,-50.3899491322556
3,3,738084.617669448,-0.2,0.095,-49.4229513073197,-52.385586435071,47.0891750278305,52.7530774156621,0.814490019075391,-7.53599918622384,-17.3647601510278,-49.6189810449925,-16.5190320392845,-50.197380286386,-48.6224522208884,-7.18764328516713,-48.839835064739
4,4,738084.617669545,-0.2,0.11,-49.7169399656132,-48.8490014765861,47.4383588167336,52.7277122116278,0.776592727735167,-7.67532235791272,-15.777266160667,-49.7704002855813,-14.9331314080367,-50.3446438038819,-47.0447260135581,-7.32878126110903,-47.259720007866
5,5,738084.617669635,-0.2,0.125,-49.9730278705876,-45.2570689246848,47.768555739559,52.7041815108267,0.735916858370864,-7.79714003935346,-14.1626794519515,-49.903717188021,-13.3201960981661,-50.473753229529,-45.43945752604,-7.45247631297977,-45.6520755768749
6,6,738084.617669734,-0.2,0.14,-50.1898729012436,-41.6155515398713,48.0784885175488,52.6824899831352,0.692271640683716,-7.90080731582937,-12.5237150483513,-50.0182500811363,-11.6829390893045,-50.5840347611395,-43.8093330035008,-7.55808110096342,-44.0195932106913
7,7,738084.617669838,-0.2,0.155,-50.3663303102988,-37.930616393275,48.3669796457294,52.6626368969173,0.645478776192776,-7.98577248144692,-10.8632862078047,-50.1134134642519,-10.0242712257486,-50.6749111987745,-42.1572391369115,-7.6450410903754,-42.365164786534
8,8,738084.617669945,-0.2,0.17,-50.5014701970221,-34.2087858499427,52.6446162795565,48.6329679194996,-0.975412070656469,-8.0515854328269,-9.18448082467499,-50.1887268317915,-8.34727763139163,-50.7459106958744,-40.4862397982738,-7.71290296163048,-40.6918593020986
9,9,738084.617670034,-0.2,0.185,-50.5945919692311,-30.4568813730453,52.6284171258977,48.8755234007147,-1.02892295721118,-8.09790462310116,-7.49053431890088,-50.2438220142309,-6.65519061806375,-50.7966740186379,-38.7995492303717,-7.76132158734638,-39.0028960119164
10,10,738084.617670121,-0.2,0.2,-50.6452353560082,-26.6819612208808,49.0938603923978,52.6140236501009,0.484888732258999,-8.12450236590502,-5.78479953473649,-50.2784488145696,-4.95135960941849,-50.8269600945138,-37.1005022053565,-7.79006536595827,-37.3016145334422
