target_x,target_y,pupil_x,pupil_y
-0.2,0.05,-11.8005125723695,-24.9081574009231
-0.2,0.065,-11.9025468105818,-23.779873538496
-0.2,0.08,-11.9957350992455,-22.6268755604578
-0.2,0.095,-12.0796119069689,-21.4505494586482
-0.2,0.11,-12.1537472646425,-20.252452189014
-0.2,0.125,-12.2177527213216,-19.0343046647178
-0.2,0.14,-12.2712869395341,-17.797981836294
-0.2,0.155,-12.3140607745938,-16.545499915642
-0.2,0.17,-12.3458416961096,-15.2790008944402
-0.2,0.185,-12.3664574209593,-14.0007346014555
-0.2,0.2,-12.3757986469436,-12.7130386303909
-0.2,0.215,-12.3738208033185,-11.4183165487074
-0.2,0.23,-12.3605447625121,-10.1190148596052
-0.2,0.245,-12.3360564907625,-8.81759923693378
-0.2,0.26,-12.3005056489352,-7.51653057282377
-0.2,0.275,-12.2541031887527,-6.21824138417767
-0.2,0.29,-12.197118018064,-4.92511310055034
-0.2,0.305,-12.1298728397777,-3.63945471541884
-0.2,0.32,-12.0527392864306,-2.36348322639601
-0.2,0.335,-11.9661324915411,-1.09930621368196
-0.2,0.35,-11.8705052469303,0.151093173534092
-0.18,0.05,-10.2148913304911,-25.0828923664238
-0.18,0.065,-10.3097126544387,-23.9475555389708
-0.18,0.08,-10.3963551413049,-22.786828191368
-0.18,0.095,-10.4743785307455,-21.6021190112316
-0.18,0.11,-10.5433758338998,-20.3950156833364
-0.18,0.125,-10.6029790776314,-19.1672778074016
-0.18,0.14,-10.6528647057926,-17.9208267061095
-0.18,0.155,-10.6927584917652,-16.6577321767904
-0.18,0.17,-10.7224398182624,-15.3801963426033
-0.18,0.185,-10.7417451969214,-14.0905348600004
-0.18,0.2,-10.7505709181587,-12.7911558359867
-0.18,0.215,-10.7488747473918,-11.4845368941322
-0.18,0.23,-10.7366766131053,-10.173200898244
-0.18,0.245,-10.7140582651439,-8.85969089150147
-0.18,0.26,-10.6811619133975,-7.54654483650723
-0.18,0.275,-10.6381878924213,-6.23627074113213
-0.18,0.29,-10.5853914261723,-4.9313227361944
-0.18,0.305,-10.523078593667,-3.63407862252652
-0.18,0.32,-10.451601619798,-2.34681934243431
-0.18,0.335,-10.3713536282555,-1.07171074874691
-0.18,0.35,-10.2827630034171,0.189212042352803
-0.16,0.05,-8.58830398053268,-25.2381249823999
-0.16,0.065,-8.67517196706776,-24.0965299494716
-0.16,0.08,-8.7545861383319,-22.9289183229043
-0.16,0.095,-8.82613700375596,-21.7367190201637
-0.16,0.11,-8.88944571505595,-20.5215475524113
-0.16,0.125,-8.94416950089615,-19.2851988871148
-0.16,0.14,-8.99000678726012,-18.0296370129915
-0.16,0.155,-9.02670185819001,-16.7569812552916
-0.16,0.17,-9.05404892212861,-15.469489500556
-0.16,0.185,-9.0718954569575,-14.1695386006739
-0.16,0.2,-9.08014473009594,-12.8596023289152
-0.16,0.215,-9.07875741093171,-11.542227356995
-0.16,0.23,-9.06775222291489,-10.2200077957524
-0.16,0.245,-9.04720561527263,-8.89555889566376
-0.16,0.26,-9.0172504627232,-7.57149053556377
-0.16,0.275,-8.97807383951366,-6.25038112598084
-0.16,0.29,-8.92991393807615,-4.93475253081405
-0.16,0.305,-8.87305623141459,-3.62704656331053
-0.16,0.32,-8.80782899907368,-2.32960353815752
-0.16,0.335,-8.73459834874632,-1.04464327697171
-0.16,0.35,-8.65376287648979,0.225751132714352
-0.14,0.05,-6.92417313130483,-25.3721799047633
-0.14,0.065,-7.00238100184712,-24.2251660085864
-0.14,0.08,-7.07391467649738,-23.0515684675085
-0.14,0.095,-7.13840086896719,-21.8528338386761
-0.14,0.11,-7.1954939803728,-20.6306022959239
-0.14,0.125,-7.24488113007675,-19.3867004588759
-0.14,0.14,-7.28628690117069,-18.1231307452902
-0.14,0.155,-7.31947766550149,-16.8420572913686
-0.14,0.17,-7.34426535976639,-15.5457886015455
-0.14,0.185,-7.36051059372834,-14.2367572087699
-0.14,0.2,-7.36812499251203,-12.9174967379737
-0.14,0.215,-7.36707269433326,-11.5906168676919
-0.14,0.23,-7.35737095445117,-10.2587767656863
-0.14,0.245,-7.33908983539389,-8.92465763246079
-0.14,0.26,-7.3123509938966,-7.59093501962532
-0.14,0.275,-7.27732560430912,-6.26025159101205
-0.14,0.29,-7.23423149030115,-4.93519096689081
-0.14,0.305,-7.18332955504591,-3.61825323985779
-0.14,0.32,-7.12491962388567,-2.31183267505063
-0.14,0.335,-7.05933582579974,-1.01819801073821
