experiment,camera_pos_x,camera_pos_y,camera_pos_z,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
4,-200.0,50.0,320.0,2.81145695693239e-05,1.9433691476772205e-05,0.007589871284562174,0.582793628774407,0.17152367708907995,0.3430002782948718,0.7405621520020342
5,-200.0,50.0,300.0,2.8292405741792452e-05,1.9712196630730744e-05,0.007183791349336416,0.5490986793525607,0.16309239226128416,0.32201427261252685,0.7008590327056674
6,-200.0,50.0,280.0,2.8723056757639996e-05,2.005827935033719e-05,0.006870423529528993,0.5229451865060156,0.15653996613733437,0.3066287427297849,0.6702232456854333
7,-200.0,50.0,260.0,2.9103705685005354e-05,2.028668223585385e-05,0.006622501994512648,0.5019697873962682,0.15131946021791787,0.2949317681284668,0.6459896370669456
8,-200.0,50.0,240.0,2.934527470043137e-05,2.0359997611067102e-05,0.006422338900931761,0.48482875352315774,0.14707628205583317,0.2860295750174322,0.6264282018484085
9,-200.0,50.0,220.0,2.9437969344187e-05,2.029083939956211e-05,0.006258016530199691,0.47060836831443015,0.1435705664209035,0.2788084337763433,0.6103730155046654
10,-200.0,50.0,200.0,2.939939934973418e-05,2.010577037258096e-05,0.00612120377518148,0.4586537353959396,0.1406342178697724,0.2731307949902495,0.597008816741264
11,-200.0,50.0,180.0,2.9254272149585438e-05,1.983218743125638e-05,0.006005910059522157,0.44849126552842916,0.13814591980722746,0.26849418825406124,0.5857493050131288
12,-200.0,50.0,160.0,2.9026670238858516e-05,1.9493996454543273e-05,0.005907723885520603,0.43976892106964965,0.13601593235426782,0.26476823713510933,0.576162711959689
13,-200.0,50.0,140.0,2.8737457281972385e-05,1.9110653586758094e-05,0.005823329821851784,0.4322190077729364,0.13417647559641685,0.26168766037251356,0.5679245595914112
14,-200.0,50.0,120.0,2.8403752854819717e-05,1.8697437424721157e-05,0.005750192032280992,0.4256345265856483,0.13257543544958783,0.25906478480923817,0.5607866926210693
15,-200.0,50.0,100.0,2.8039196656337333e-05,1.8266091284564527e-05,0.005686341014425595,0.4198533029952168,0.13117212067067904,0.2568630271853492,0.5545564030556454
