experiment,camera_pos_x,camera_pos_y,camera_pos_z,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
2,-200.0,50.0,360.0,-0.00013910250752788888,-8.591226650348337e-05,0.005068973206401863,0.3527744635062776,0.08136726277022079,0.3074046985701857,0.5025498315130402
3,-200.0,50.0,340.0,-0.00010878469360321376,-7.101117955625627e-05,0.004392628074407673,0.31312018085272775,0.07071098255665716,0.2596484761899046,0.4359372336875532
4,-200.0,50.0,320.0,-8.626023853605676e-05,-5.9275201568182004e-05,0.003953947809964692,0.28774953599639774,0.06460102711909166,0.22664412177022966,0.39263330156884546
5,-200.0,50.0,300.0,-6.650565976906612e-05,-5.3694067937527306e-05,0.004130115037521381,0.3055376479726002,0.07384831138940325,0.22444342489717511,0.40944610529970876
6,-200.0,50.0,280.0,-5.4325427140884836e-05,-4.867674292743721e-05,0.0041982974333337475,0.30999793421699284,0.07910275594419611,0.22179046666708643,0.41530028640868705
7,-200.0,50.0,260.0,-4.814267543501304e-05,-4.2212200589142825e-05,0.003832735303407572,0.28461584041580545,0.07151520107203098,0.20020332578054478,0.3795101693241497
8,-200.0,50.0,240.0,-4.120061962474587e-05,-3.723435869829052e-05,0.003616876105330481,0.2694002818856035,0.06748159756097412,0.18652794529300684,0.3582573183861019
9,-200.0,50.0,220.0,-3.589304243120918e-05,-3.494456675015352e-05,0.003698682544370217,0.27336325948476214,0.07142514386560837,0.18853384853811325,0.36567321235381306
10,-200.0,50.0,200.0,-3.155162283191262e-05,-3.1278711320874064e-05,0.003656440217690285,0.2692837390601099,0.0715896420573938,0.18513494647801507,0.3612019222997377
11,-200.0,50.0,180.0,-2.7838914497585036e-05,-2.7556015511209737e-05,0.0035779892388861497,0.2630875202891089,0.07048542685376824,0.180185165508956,0.3533552065827642
12,-200.0,50.0,160.0,-2.578594619343701e-05,-2.5359106386646463e-05,0.003506192720463554,0.257375463400699,0.06940565921898807,0.1758138073764571,0.34618910008779824
13,-200.0,50.0,140.0,-2.3477948979265807e-05,-2.334874484769531e-05,0.003445537702439736,0.25247748611780657,0.06848035836665732,0.17216727605597035,0.3401361545564574
14,-200.0,50.0,120.0,-2.0966983339690666e-05,-2.192754018108669e-05,0.0033936196707239318,0.2482263909668705,0.06768444069133506,0.16922306272402618,0.3349534322400971
15,-200.0,50.0,100.0,-1.817123525902138e-05,-2.127697816025577e-05,0.003356219113436271,0.24500341828783742,0.06719461009188948,0.1671383630206049,0.33119638122413736
16,-200.0,50.0,80.0,-1.7732566630034328e-05,-1.8939748472038823e-05,0.0033108197693476928,0.2412874137507153,0.06642760258769421,0.164662710656789,0.3266866721888693
17,-200.0,50.0,60.0,-1.6027291479538034e-05,-1.8280842846848963e-05,0.0032894969657640666,0.2392328442501272,0.06624736815973957,0.16347743624650768,0.32451082420352145
18,-200.0,50.0,40.0,-1.546520177688328e-05,-1.5980719918940694e-05,0.0032461695193987815,0.23577590202339865,0.06543499339601065,0.16120346039970435,0.3202324642632855
