experiment,camera_pos_x,camera_pos_y,camera_pos_z,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
4,-200.0,50.0,320.0,0.0002235950494616401,0.00044353123626036717,0.007610611965303856,0.5834499842079672,0.17153150742381892,0.3448526394845149,0.7426756423089474
5,-200.0,50.0,300.0,0.00018420588023794008,0.00039512869311797503,0.007202266449946792,0.5497254542451474,0.16311536480078812,0.32378616184114684,0.7027394629477074
6,-200.0,50.0,280.0,0.0001563417803348968,0.0003573291224197499,0.006886948968477436,0.5234855663325986,0.15657280035872034,0.30832741842738537,0.6719033623780761
7,-200.0,50.0,260.0,0.00013584150823870111,0.0003267682055628899,0.0066373808241978844,0.5024696040995225,0.15135918064538206,0.2965828638574398,0.6475006348005553
8,-200.0,50.0,240.0,0.00012027546462660463,0.0003014047181794767,0.006435849763703249,0.48529333162366867,0.14712106257509128,0.28755136874154313,0.62779872177591
9,-200.0,50.0,220.0,0.00010814686161382279,0.0002799255583225333,0.006270379169113605,0.47103683380997546,0.14361920813185242,0.28045802209392773,0.611625611207396
10,-200.0,50.0,200.0,9.849120457284071e-05,0.0002614437200715257,0.006132593514503967,0.459051271845093,0.14068589109263382,0.2748007302326205,0.5981614729256192
11,-200.0,50.0,180.0,9.06631138734596e-05,0.0002453351602228678,0.006016468331643218,0.4488710252542633,0.13820002626575242,0.27025318944363474,0.5868165288440608
12,-200.0,50.0,160.0,8.421676239428142e-05,0.00023114570900926098,0.005917565970426293,0.4401342586982776,0.13607202643304747,0.26645597006188104,0.5771563302512596
13,-200.0,50.0,140.0,7.883570239384608e-05,0.00021853532191546006,0.005832550595607341,0.43257171312042303,0.13423421669152463,0.26330829721068594,0.5688543088135611
14,-200.0,50.0,120.0,7.42900152964662e-05,0.00020724325663851198,0.005758870280771532,0.42597608039854135,0.1326345576990721,0.2606701015257166,0.5616606608130067
15,-200.0,50.0,100.0,7.040923302656795e-05,0.00019706549370405036,0.005694542704695524,0.4201847039497298,0.13123241292266768,0.2584075280893126,0.5553813646561923
16,-200.0,50.0,80.0,6.706469373744015e-05,0.0001878396091845883,0.005638007112079153,0.41506832194485005,0.12999562036681728,0.25644943858787517,0.5498636829686397
17,-200.0,50.0,60.0,6.415775980917939e-05,0.00017943435696068875,0.005588019842352677,0.4105238944371493,0.12889842115311356,0.2548258432344901,0.5449859299583866
18,-200.0,50.0,40.0,6.161173633615132e-05,0.0001717423022355954,0.005543579197166687,0.40646751302774553,0.1279199652302883,0.25342160126241525,0.5406501118697735
