experiment,camera_pos_x,camera_pos_y,camera_pos_z,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
3,-200.0,50.0,340.0,0.0001433658678265574,0.0005188733857109599,0.003728227804490841,0.22434459690745237,0.059072046691199386,0.23659945514008754,0.3677591055260785
4,-200.0,50.0,320.0,0.00010137633797839882,0.00041604347991892204,0.0035404007139817665,0.24836268759345279,0.0564253503238444,0.2140794127930329,0.350852666812221
5,-200.0,50.0,300.0,6.445014243798825e-05,0.00034771184714251657,0.003453928305849775,0.2502579042961095,0.05905388041919535,0.19915731752966653,0.34192990823610364
6,-200.0,50.0,280.0,3.89902047099249e-05,0.000305251039691309,0.003194413346647937,0.2339148606164272,0.05538941362825062,0.17975643238826966,0.31621794578551116
7,-200.0,50.0,260.0,2.6252405000998703e-05,0.00027917965300313334,0.0030471486715056575,0.22459415419338027,0.05414227756677453,0.16697435114764317,0.3014711041958756
8,-200.0,50.0,240.0,1.3213277852721822e-05,0.00025777081918724565,0.0028541104434439005,0.21138737797951718,0.05089307721601175,0.15377859440888572,0.2824000956267967
9,-200.0,50.0,220.0,-1.0516078022645005e-05,0.00022668431269522556,0.0025165244969442206,0.18753986308999354,0.04301237640724713,0.1346149941218603,0.24935783403401904
10,-200.0,50.0,200.0,-2.9334334540950216e-06,0.00022339037371195178,0.002569146355754088,0.1914971206643918,0.04606564785888775,0.13425375539965043,0.254220426931073
11,-200.0,50.0,180.0,-2.2113718547111493e-06,0.0002025377424574331,0.0024859132531803675,0.18554850931730202,0.04494765711037026,0.12814773067473495,0.24593113525385088
12,-200.0,50.0,160.0,1.865401934867431e-06,0.00019053577074596212,0.002420470304990808,0.18078035826406846,0.044138442810939565,0.12328634098509957,0.23939833234356622
13,-200.0,50.0,140.0,-2.154745556767741e-05,0.00018709277872443642,0.002369831339049394,0.17696464644547047,0.04356610385668907,0.11956111499004311,0.23433005052844394
14,-200.0,50.0,120.0,-3.6382713367630326e-05,0.00014127477794292583,0.002322189610170552,0.17337950565124388,0.04298768489720421,0.11626240090760907,0.22956599099165018
15,-200.0,50.0,100.0,-2.7116739701472843e-05,0.00016948695087044791,0.002282070811687965,0.17009073091011653,0.04250637201666458,0.11358096825899874,0.22554483850712104
16,-200.0,50.0,80.0,-2.6771353365462594e-05,0.0001586685273814075,0.0022524865093163774,0.16775126492050746,0.042193332658794595,0.11143711589482147,0.22258454407576753
17,-200.0,50.0,60.0,-2.6006551138194322e-05,0.0001517346118051686,0.0022227192392714713,0.1653220944954873,0.04183398858145618,0.10944951966870282,0.21960428352122327
18,-200.0,50.0,40.0,-2.4507346052391313e-05,0.00015747567038305673,0.002195840796307509,0.16303819345716447,0.04149539584385259,0.10773341328555142,0.2169121484526076
19,-200.0,50.0,20.0,-2.3172731411562803e-05,0.0001500637039614385,0.002172666710921414,0.16109532373821098,0.04120760260397921,0.10626253267062558,0.21459135020064288
20,-200.0,50.0,0.0,-2.3697925753750107e-05,0.0001337346036910517,0.002153100847537916,0.1594612736493014,0.040979073027972344,0.10503989097617272,0.2126310152817705
24,-200.0,65.0,340.0,0.00014631197441050247,0.0004222748847980669,0.0036396839230317746,0.24694805836426975,0.05534405893694384,0.21725160355550166,0.3602358958273244
25,-200.0,65.0,320.0,9.82437306057865e-05,0.0003562132790793705,0.003238563518769044,0.2309964414231018,0.04922337752288112,0.18715622104023863,0.32102396672777694
26,-200.0,65.0,300.0,6.477457372167768e-05,0.0002953692008692645,0.003394655292923117,0.2548609510865379,0.05815799435814385,0.1838548434069856,0.3361522865845037
27,-200.0,65.0,280.0,3.876318216051329e-05,0.00026190199092299604,0.003134314087339997,0.23693715330998755,0.05426879425225135,0.16595453858598946,0.31037587366352726
28,-200.0,65.0,260.0,2.2503831433504365e-05,0.00024212623488415952,0.0029671126246713147,0.22502393004286356,0.05228462824497686,0.1537181188217667,0.293716958252195
29,-200.0,65.0,240.0,-8.528985915591067e-06,0.00020425932108408755,0.002749979082373979,0.20924643516974964,0.04827903585206088,0.14052918230209852,0.27230557220626056
30,-200.0,65.0,220.0,3.671487787423896e-06,0.00019987250717247174,0.0026422288268922373,0.2012284269985847,0.046967578722807456,0.13294986665317057,0.26155790025075915
31,-200.0,65.0,200.0,2.360355061277876e-08,0.00018899626544799928,0.0025434081553175215,0.19371219093736064,0.04560428372023271,0.1264161199785779,0.25172368980266197
32,-200.0,65.0,180.0,3.6166715810463485e-06,0.00017358542509771476,0.002470656156351855,0.18799807247956304,0.04472953101240712,0.12149519564002959,0.24445336124026162
33,-200.0,65.0,160.0,-1.2947172208494524e-05,0.00016616242579900684,0.0024118360793108913,0.18324773574017345,0.04406189599644313,0.11764269369335766,0.23856477815029667
34,-200.0,65.0,140.0,-2.2552885242003575e-05,0.00013084408023039226,0.0023584099175196255,0.1789019562544563,0.043407699684544145,0.11434485864815155,0.2332209321826203
35,-200.0,65.0,120.0,-2.398712727519722e-05,0.00015161594492924777,0.0023180638484966206,0.17542692920713387,0.042975524787516706,0.1118576136356051,0.2291750711295688
36,-200.0,65.0,100.0,-2.400313242079383e-05,0.00014494897298006023,0.0022799380003837725,0.17217846984992388,0.042511607724855495,0.1095925448879698,0.22535844847232725
37,-200.0,65.0,80.0,-2.355868203507849e-05,0.00013847018203318848,0.002246794839330109,0.16928886327616743,0.042109833175090504,0.10764622200703071,0.22203920876211775
38,-200.0,65.0,60.0,-2.2536982228432076e-05,0.00013501610805423657,0.0022165875292839547,0.16660501556873925,0.04173445311591093,0.10597954930626889,0.21901297637192496
39,-200.0,65.0,40.0,-2.1987899588343777e-05,0.00012887045459481405,0.002191118485874968,0.16432825111539356,0.04142140643603709,0.10460917489497837,0.21646082098470878
40,-200.0,65.0,20.0,-1.7213383625729605e-05,0.00013575938358379995,0.002175312943807142,0.16285092978330404,0.0412895332129552,0.10373808243284716,0.21487999755800433
41,-200.0,65.0,0.0,-2.4365827932910694e-05,0.0001109378824274449,0.002151283644859531,0.16071485120926218,0.040965046235682624,0.10251925786985942,0.21247107181578342
45,-200.0,80.0,340.0,0.00016365140739011834,0.0003395849448337106,0.00368960343145573,0.2765129399078368,0.056556428904815305,0.20093731663606848,0.36586278259844696
46,-200.0,80.0,320.0,0.00010002632627204526,0.00029443534668577526,0.003143889700665699,0.2357798071632573,0.04723539628876294,0.16858568952615027,0.3118124933573373
47,-200.0,80.0,300.0,6.330648453358527e-05,0.0002420875605785359,0.0033182610888472263,0.257498855195226,0.05661232094692596,0.16745822855395354,0.3287360574121427
48,-200.0,80.0,280.0,3.874442827171909e-05,0.0002138930539660948,0.003099430517011887,0.24119669209372172,0.05380381587768714,0.15315730213389098,0.30698295001253845
49,-200.0,80.0,260.0,1.7443445204749313e-05,0.00019762966605089662,0.0028208588036479822,0.2203418376225947,0.048406184250946095,0.13742051298955713,0.2795439027810122
50,-200.0,80.0,240.0,1.2810465026891368e-05,0.00018400970842701598,0.0027419783379155323,0.21366015996352702,0.04834606073915244,0.13165475554327905,0.27153348465808724
51,-200.0,80.0,220.0,8.77589238145065e-06,0.00016711231639741922,0.0026376495736071407,0.20508545466364744,0.04708845989449375,0.12536254583633102,0.26111504595327123
52,-200.0,80.0,200.0,3.650297095282216e-06,0.00015519856498883098,0.002531439122585929,0.19654704071541138,0.045475384302970726,0.11931696604020905,0.25056759911516613
53,-200.0,80.0,180.0,3.1735826710921736e-06,0.00014468230401591288,0.002461987602000302,0.19052929208299071,0.04465730854015854,0.1153851343951243,0.24361376175718055
54,-200.0,80.0,160.0,-5.191852280836929e-06,0.0001206345847890086,0.002401859556394465,0.1853121162470512,0.04392578655389083,0.11212239033542767,0.23759800978625953
55,-200.0,80.0,140.0,-1.9810793106338245e-05,0.00013667928527421577,0.002355448692941527,0.18108534641097132,0.04342794329870265,0.10968129164971109,0.23294301451212276
56,-200.0,80.0,120.0,-2.0440255492035505e-05,0.00012940360196852746,0.0023121327761584168,0.177162261610626,0.042906256553913155,0.10748785486839875,0.22860583225076792
57,-200.0,80.0,100.0,-2.0555954847086366e-05,0.00012309323115124827,0.0022748047658365613,0.17372061353965496,0.04245900146640001,0.10563961035524679,0.2248666825345295
58,-200.0,80.0,80.0,-2.0546691279848623e-05,0.00011749585280772443,0.002242397598641322,0.17069340385488646,0.04206280409491348,0.1041317555562569,0.22161935898576693
59,-200.0,80.0,60.0,-1.7039858018026997e-05,0.00012110675202231733,0.0022168822847432727,0.16822427207106233,0.04177804118046134,0.10300213166465153,0.21906011999155525
60,-200.0,80.0,40.0,-1.3940641819771477e-05,0.00012208892545992054,0.0021898773153038245,0.16572573773769023,0.04142375909008718,0.10181801205342243,0.2163600581447376
61,-200.0,80.0,20.0,-1.5902285084043616e-05,0.00010971383832999937,0.0021658733614018447,0.16338395385356472,0.04111448830723928,0.10088928150447807,0.2139464255576501
62,-200.0,80.0,0.0,-2.1799318096109517e-05,9.903437042759619e-05,0.00214660900869767,0.16148743083220704,0.040891802388800705,0.10011309947241266,0.21201236664921508
67,-200.0,95.0,320.0,0.00010839460183168829,0.00023861461860617573,0.0030765288165937976,0.2421683764245199,0.04592085694828844,0.15036933377156658,0.3053285147945667
68,-200.0,95.0,300.0,6.210038279275515e-05,0.00019501126089943016,0.003284896833844684,0.26244488282987266,0.05623180213877687,0.15283355439603435,0.3254957196902983
69,-200.0,95.0,280.0,4.4022098934264765e-05,0.00016736313656321285,0.002992883733550888,0.2396505606053639,0.051113711611286056,0.13731641979882336,0.2966572225434335
70,-200.0,95.0,260.0,1.0479327412577364e-05,0.00015740247346928172,0.00284550729408086,0.22724832558157912,0.049537694656081516,0.12891508498662047,0.28193183226422774
71,-200.0,95.0,240.0,1.1638975366172348e-05,0.00014129621221115084,0.0027354669739827735,0.21753564510198017,0.048432684687596025,0.12311925256069525,0.27090165316371
72,-200.0,95.0,220.0,1.1533464647562316e-05,0.00013661513259104741,0.00262327135404432,0.2078082776833889,0.046885732971579,0.11751208050189099,0.259725986874368
73,-200.0,95.0,200.0,-1.0678231644283165e-06,0.00012885874757708957,0.0025440996985384126,0.20058152478736482,0.0459787334709228,0.11364994960375131,0.2517957424070225
74,-200.0,95.0,180.0,7.811873166597369e-06,0.00011052697201806011,0.0024544401020524568,0.1928250893314513,0.04457626890147882,0.10948737988815842,0.24288703550005356
75,-200.0,95.0,160.0,-1.4675552649361608e-05,0.00011876456687919425,0.0023996451907646104,0.1875639185782021,0.04396505831078224,0.10716337085298643,0.23739134497288297
76,-200.0,95.0,140.0,-1.609444209115611e-05,0.00011183587860620578,0.0023500571124195637,0.18282589838685204,0.04337428083915679,0.10511754446553849,0.2324253483199359
77,-200.0,95.0,120.0,-1.5547238711390914e-05,0.00011101414498453235,0.002306557397432592,0.1786279715964577,0.042839625411609,0.10337403905694248,0.22806725419888146
78,-200.0,95.0,100.0,-1.6920190605640064e-05,0.00010205234587556551,0.002271115652742135,0.17516037916437965,0.04242561217708172,0.10203076715250245,0.2245147698373534
79,-200.0,95.0,80.0,-1.3969128671540273e-05,0.00010303907941431939,0.0022414640281910427,0.17217614047722307,0.04208524499533528,0.10099698439591606,0.22154044737670142
80,-200.0,95.0,60.0,-1.6938737223539248e-05,9.283140185939149e-05,0.002211310326942483,0.16919174950918212,0.0416884992968933,0.09995639520687316,0.21851779732684165
81,-200.0,95.0,40.0,-1.625327383005213e-05,8.934461301380542e-05,0.0021866571712684944,0.16669009253984765,0.04138742046671229,0.09917240417252884,0.21604444516216972
82,-200.0,95.0,20.0,-1.3539724846905443e-05,8.872624256370925e-05,0.002166525832870819,0.16459586968112433,0.04116046800127171,0.0985805298331012,0.2140237501567046
83,-200.0,95.0,0.0,-1.2546667118498477e-05,8.539196710481326e-05,0.002147089924686312,0.16259692935473227,0.04092496068877914,0.09800894840047605,0.21207363082264305
87,-200.0,110.0,340.0,0.00016647097508258333,0.00020831062528273338,0.003523647930026554,0.2889465903771934,0.05352794535492548,0.15689110956057215,0.3497898227027065
88,-200.0,110.0,320.0,9.459980980107774e-05,0.00016919214125291245,0.003419231644021028,0.2821147422070815,0.05611765086172301,0.14706862540344723,0.33918724807043493
89,-200.0,110.0,300.0,7.094872142713855e-05,0.00014516534583975188,0.003189781683075038,0.26226034340505355,0.05385412115803618,0.13564624144898577,0.31627958691960645
90,-200.0,110.0,280.0,4.227022357627489e-05,0.0001361157057707521,0.002987110262170775,0.24468907334056672,0.05130326194318969,0.12598617760128636,0.2961014015319011
91,-200.0,110.0,260.0,2.5602757831028006e-05,0.00013502623576319014,0.0028422473278954213,0.23151088290178418,0.04968365522131623,0.11948270314299798,0.28162194068804314
92,-200.0,110.0,240.0,1.944868062143341e-05,0.00011522268240510507,0.0027185883918256115,0.22008229611046132,0.04815581198703291,0.11437572695553264,0.269267805497023
93,-200.0,110.0,220.0,5.28511937795634e-06,0.0001034145984350069,0.002615363707973586,0.2104640788731843,0.046826654399942526,0.11026621412804855,0.2589612643859616
94,-200.0,110.0,200.0,-1.064228574273832e-05,0.00010257899904258957,0.002535582052837553,0.20269371003416464,0.04588702138907013,0.1073757541462356,0.2509716342745528
95,-200.0,110.0,180.0,6.306915304693227e-06,9.011446922243434e-05,0.002449941633032307,0.19487584777550704,0.04456645966957109,0.10415467715280427,0.24245441757540664
