frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
1,0,1568391934640,100,100,902.2269287109376,540.47998046875,69.95930480957031,82.945068359375,127.92384338378906,799.1221923828125,550.2850952148439,903.130859375,538.4323120117189,900.0,582.0,-1.0,-1.0
2,0,1568391934652,100,100,902.4658813476562,540.6484985351561,70.4398422241211,83.54039001464844,129.33705139160156,799.2308959960938,550.31591796875,903.130859375,538.4323120117189,900.0,582.0,-1.0,-1.0
3,0,1568391934666,100,100,902.3465576171876,540.705078125,70.15138244628906,83.11219787597656,127.68238830566406,799.346923828125,550.281982421875,903.2171020507812,538.5,900.0,582.0,-1.0,-1.0
4,0,1568391934677,100,100,902.566162109375,540.63134765625,70.44401550292969,83.30624389648438,127.6239242553711,799.48486328125,550.31591796875,903.2171020507812,538.5,900.0,582.0,-1.0,-1.0
5,0,1568391934689,100,100,902.4551391601562,540.6402587890625,70.2998046875,82.52572631835938,126.85977935791016,799.4791870117188,550.2777709960939,903.2171020507812,538.5,900.0,582.0,-1.0,-1.0
6,0,1568391934701,100,100,902.5339965820312,540.781494140625,70.32249450683594,83.31761932373047,128.77464294433594,799.6055908203125,550.29931640625,903.2171020507812,538.5,900.0,582.0,-1.0,-1.0
7,0,1568391934712,100,100,902.5238037109376,540.738037109375,70.12136077880861,82.83879852294922,128.20368957519528,799.7052001953125,550.2395629882811,903.2244262695312,538.4235229492189,900.0,582.0,-1.0,-1.0
8,0,1568391934725,100,100,902.4519653320312,540.6951904296875,70.26970672607422,83.40979766845703,128.13700866699222,799.7052001953125,550.2395629882811,903.3154907226562,538.3154907226561,900.1746215820312,581.8253784179688,-1.0,-1.0
9,0,1568391934737,100,100,902.6039428710938,540.5316162109375,70.22698211669922,83.19231414794922,127.16690063476562,799.8717651367188,550.2646484375,903.4230346679688,538.1976318359375,900.1649780273438,581.8277587890625,-1.0,-1.0
10,0,1568391934749,100,100,902.7514038085938,540.4588623046875,70.35446166992189,83.11075592041016,126.73249053955078,799.6934204101562,550.2217407226561,903.5769653320312,538.1976318359375,900.30810546875,581.861572265625,-1.0,-1.0
11,0,1568391934761,100,100,902.7568969726562,540.5947875976561,70.24513244628906,83.18060302734375,127.3379364013672,799.0392456054688,550.3446044921875,903.5769653320312,538.1976318359375,900.30810546875,581.861572265625,-1.0,-1.0
12,0,1568391934773,100,100,902.7560424804688,540.5625,70.48898315429688,83.14977264404297,128.14706420898438,799.0392456054688,550.3446044921875,903.5827026367188,538.2709350585939,900.3742065429688,581.777587890625,-1.0,-1.0
13,0,1568391934786,100,100,902.63720703125,540.2824096679689,70.20497894287111,83.29377746582031,127.34002685546876,798.9465942382812,550.3113403320311,903.5,538.2171020507811,900.2620239257812,581.71044921875,-1.0,-1.0
14,0,1568391934798,100,100,902.6911010742188,540.3255004882811,70.5453872680664,83.92695617675781,127.85398864746094,799.608642578125,550.1432495117189,903.5,538.2171020507811,900.2620239257812,581.71044921875,-1.0,-1.0
15,0,1568391934810,100,100,902.6949462890624,540.2415771484375,70.71681213378906,83.0833511352539,125.89280700683594,799.6373901367188,550.142333984375,903.5,538.2171020507811,900.22021484375,581.6812744140625,-1.0,-1.0
16,0,1568391934823,100,100,902.6369018554688,540.1381225585939,70.92493438720703,83.31189727783203,126.6259765625,799.4523315429688,550.08740234375,903.5,538.2171020507811,900.2266845703125,581.6812744140625,-1.0,-1.0
17,0,1568391934836,100,100,902.5108642578124,540.1436767578125,70.25145721435547,83.3327407836914,126.5749053955078,799.4523315429688,550.08740234375,903.5,538.2171020507811,900.222412109375,581.6257934570312,-1.0,-1.0
18,0,1568391934848,100,100,902.939697265625,540.4966430664061,71.24817657470703,83.67070770263672,128.18505859375,799.4805908203125,550.2115478515625,904.0,538.5,900.7941284179688,581.7860107421875,-1.0,-1.0
19,0,1568391934860,100,100,904.9118041992188,541.12841796875,70.40139770507812,83.26173400878906,127.23057556152344,800.4166870117188,549.4821166992189,904.869140625,538.5676879882811,901.8350219726562,582.1722412109375,-1.0,-1.0
20,0,1568391934873,100,100,906.0951538085938,540.9913330078125,70.19844818115234,83.53001403808594,129.73866271972656,799.3253173828125,550.1434326171875,905.1439819335938,538.5,902.0,582.0,-1.0,-1.0
21,0,1568391934886,100,100,905.984619140625,540.4088745117189,69.88946533203125,83.3136978149414,129.78620910644528,801.0386962890625,549.2139282226561,905.4719848632812,538.2708129882811,902.0985107421876,581.7230224609375,-1.0,-1.0
22,0,1568391934897,100,100,905.623779296875,540.414794921875,70.40352630615234,83.75128173828125,128.69790649414062,801.1845092773438,549.204345703125,905.2752685546876,538.33447265625,901.9644775390624,581.72509765625,-1.0,-1.0
23,0,1568391934909,100,100,905.848388671875,540.4614868164061,70.34968566894531,83.73076629638672,128.21963500976562,801.2802734375,549.2347412109375,905.2752685546876,538.33447265625,901.9644775390624,581.72509765625,-1.0,-1.0
24,0,1568391934921,100,100,905.9606323242188,540.4995727539061,70.30757141113281,83.86773681640625,128.55912780761722,801.2587890625,549.3231811523439,905.2752685546876,538.33447265625,902.0,581.77392578125,-1.0,-1.0
25,0,1568391934934,100,100,906.1647338867188,540.4747314453125,70.58185577392578,83.43131256103516,128.93727111816406,801.44287109375,549.25439453125,905.4230346679688,538.1976318359375,902.1746215820312,581.8253784179688,-1.0,-1.0
